time	bpb	status	desc
2026-03-19 14:34:41	3.018427	discard	MATRIX_LR=0.04738934000112459	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:34:51	3.022466	discard	MATRIX_LR=0.04211170699596438	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:43:55	2.923255	discard	MATRIX_LR=0.045409502003762627	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:43:55	2.936957	discard	MATRIX_LR=0.04220303499287799	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:51:59	2.926519	discard	MATRIX_LR=0.040735384000885944	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:52:09	2.929658	discard	MATRIX_LR=0.04330225600366524	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:00:04	2.922873	discard	MATRIX_LR=0.046859747003475595	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:00:04	2.940020	discard	MATRIX_LR=0.04073267799655707	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:08:08	2.898518	discard	MATRIX_LR=0.0483130679928376	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:08:08	2.902013	discard	MATRIX_LR=0.040701350002482144	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:36:55	2.962770	discard	MATRIX_LR=0.044817596000171094	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:36:56	2.955261	discard	MATRIX_LR=0.04552930299800783	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:45:30	2.943146	discard	MATRIX_LR=0.04418133699534812	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 15:45:30	2.945269	discard	MATRIX_LR=0.04333397599717881	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 17:22:45	2.935226	discard	MATRIX_LR=0.04075411299198085	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 17:22:56	2.934450	discard	MATRIX_LR=0.04029844799382808	Qwen3-4B-presinq-Q4_K_S.gguf
